pref,name,touroku,year,addr,hp,lat,lon
北海道,三笠,第1回,H5.4,三笠市,http://www.hokkaido-michinoeki.jp/michinoeki/172/,43.246601,141.80455
北海道,スタープラザ　芦別,第1回,H5.4,芦別市,http://www.hokkaido-michinoeki.jp/michinoeki/202/,43.525518,142.188894
北海道,南ふらの,第1回,H5.4,空知郡南富良野町,http://www.hokkaido-michinoeki.jp/michinoeki/222/,43.169701,142.572798
北海道,しらぬか恋問館,第1回,H5.4,白糠郡白糠町,http://www.hokkaido-michinoeki.jp/michinoeki/263/,,
北海道,びふか,第1回,H5.4,中川郡美深町,http://www.hokkaido-michinoeki.jp/michinoeki/292/,44.558858,142.320033
北海道,江差,第1回,H5.4,檜山郡江差町,http://www.hokkaido-michinoeki.jp/michinoeki/321/,41.894342,140.139289
北海道,望羊中山,第1回,H5.4,虻田郡喜茂別町,http://www.hokkaido-michinoeki.jp/michinoeki/364/,42.855177,141.096589
北海道,えんべつ富士見,第1回,H5.4,天塩郡遠別町,http://www.hokkaido-michinoeki.jp/michinoeki/389/,,
北海道,忠類,第1回,H5.4,中川郡幕別町,http://www.hokkaido-michinoeki.jp/michinoeki/407/,42.558862,143.299194
北海道,摩周温泉,第1回,H5.4,川上郡弟子屈町,http://www.hokkaido-michinoeki.jp/michinoeki/440/,43.492391,144.447719
北海道,おといねっぷ,第1回,H5.4,中川郡音威子府村,http://www.hokkaido-michinoeki.jp/michinoeki/458/,44.729078,142.257872
北海道,かみゆうべつ温泉チューリップの湯,第1回,H5.4,紋別郡湧別町,http://www.hokkaido-michinoeki.jp/michinoeki/472/,44.185182,143.595699
北海道,いわない,第1回,H5.4,岩内郡岩内町,http://www.hokkaido-michinoeki.jp/michinoeki/499/,42.983435,140.51678
北海道,厚岸グルメパーク,第5回,H6.4,厚岸郡厚岸町,http://www.hokkaido-michinoeki.jp/michinoeki/531/,43.05767,144.844018
北海道,サンフラワー北竜,第7回,H7.1,雨竜郡北竜町,http://www.hokkaido-michinoeki.jp/michinoeki/546/,43.751048,141.875302
北海道,みついし,第8回,H7.4,日高郡新ひだか町,http://www.hokkaido-michinoeki.jp/michinoeki/564/,42.220874,142.634226
北海道,あっさぶ,第8回,H7.4,檜山郡厚沢部町,http://www.hokkaido-michinoeki.jp/michinoeki/576/,41.916573,140.216154
北海道,よってけ！島牧,第8回,H7.4,島牧郡島牧村,http://www.hokkaido-michinoeki.jp/michinoeki/588/,42.686727,140.013417
北海道,てっくいランド大成,第8回,H7.4,久遠郡せたな町,http://www.hokkaido-michinoeki.jp/michinoeki/611/,42.212366,139.876681
北海道,オホーツク紋別,第8回,H7.4,紋別市,http://www.hokkaido-michinoeki.jp/michinoeki/626/,44.328341,143.375004
北海道,YOU･遊･もり,第9回,H7.8,茅部郡森町,http://www.hokkaido-michinoeki.jp/michinoeki/641/,42.098901,140.568716
北海道,おんねゆ温泉,第9回,H7.8,北見市,http://www.hokkaido-michinoeki.jp/michinoeki/685/,43.754644,143.500531
北海道,ルート２２９元和台,第9回,H7.8,爾志郡乙部町,http://www.hokkaido-michinoeki.jp/michinoeki/704/,42.011397,140.106219
北海道,ハウスヤルビ奈井江,第10回,H8.4,空知郡奈井江町,http://www.hokkaido-michinoeki.jp/michinoeki/722/,43.433272,141.888802
北海道,おびら鰊番屋,第10回,H8.4,留萌郡小平町,http://www.hokkaido-michinoeki.jp/michinoeki/744/,44.137022,141.654956
北海道,マリーンアイランド岡島,第10回,H8.4,枝幸郡枝幸町,http://www.hokkaido-michinoeki.jp/michinoeki/768/,44.878376,142.631813
北海道,おこっぺ,第10回,H8.4,紋別郡興部町,http://www.hokkaido-michinoeki.jp/michinoeki/795/,44.469498,143.116955
北海道,阿寒丹頂の里,第10回,H8.4,釧路市,http://www.hokkaido-michinoeki.jp/michinoeki/810/,43.14402,144.146957
北海道,おとふけ,第10回,H8.4,河東郡音更町,http://www.hokkaido-michinoeki.jp/michinoeki/825/,42.976584,143.207419
北海道,ピンネシリ,第10回,H8.4,枝幸郡中頓別町,http://www.hokkaido-michinoeki.jp/michinoeki/842/,44.877462,142.213402
北海道,上ノ国もんじゅ,第11回,H8.8,檜山郡上ノ国町,http://www.hokkaido-michinoeki.jp/michinoeki/870/,41.808496,140.094966
北海道,オスコイ！かもえない,第11回,H8.8,古宇郡神恵内村,http://www.hokkaido-michinoeki.jp/michinoeki/881/,43.165359,140.385569
北海道,なかさつない,第11回,H8.8,河西郡中札内村,http://www.hokkaido-michinoeki.jp/michinoeki/892/,42.69214,143.126839
北海道,マオイの丘公園,第11回,H8.8,夕張郡長沼町,http://www.hokkaido-michinoeki.jp/michinoeki/906/,42.94998,141.716616
北海道,樹海ロード日高,第11回,H8.8,沙流郡日高町,http://www.hokkaido-michinoeki.jp/michinoeki/921/,42.87679,142.442007
北海道,そうべつ情報館ｉ（アイ）,第11回,H8.8,有珠郡壮瞥町,http://www.hokkaido-michinoeki.jp/michinoeki/937/,42.559133,140.899048
北海道,ニセコビュープラザ,第12回,H9.4,虻田郡ニセコ町,http://www.hokkaido-michinoeki.jp/michinoeki/949/,42.799492,140.702395
北海道,しりうち,第12回,H9.4,上磯郡知内町,http://www.hokkaido-michinoeki.jp/michinoeki/961/,41.601259,140.335834
北海道,横綱の里ふくしま,第12回,H9.4,松前郡福島町,http://www.hokkaido-michinoeki.jp/michinoeki/973/,41.479134,140.255731
北海道,サラブレッドロード新冠,第12回,H9.4,新冠郡新冠町,http://www.hokkaido-michinoeki.jp/michinoeki/988/,42.359836,142.315691
北海道,ピア２１しほろ,第12回,H9.4,河東郡士幌町,http://www.hokkaido-michinoeki.jp/michinoeki/1001/,43.144312,143.239276
北海道,香りの里たきのうえ,第12回,H9.4,紋別郡滝上町,http://www.hokkaido-michinoeki.jp/michinoeki/1016/,44.19689,143.090986
北海道,田園の里うりゅう,第12回,H9.4,雨竜郡雨竜町,http://www.hokkaido-michinoeki.jp/michinoeki/1026/,43.662509,141.894022
北海道,みたら室蘭,第14回,H10.4,室蘭市,http://www.hokkaido-michinoeki.jp/michinoeki/1039/,42.342012,140.943745
北海道,とうま,第14回,H10.4,上川郡当麻町,http://www.hokkaido-michinoeki.jp/michinoeki/1677/,43.844134,142.4895
北海道,スペース・アップルよいち,第14回,H10.4,余市郡余市町,http://www.hokkaido-michinoeki.jp/michinoeki/1699/,43.188538,140.788781
北海道,ほっと♡はぼろ,第14回,H10.4,苫前郡羽幌町,http://www.hokkaido-michinoeki.jp/michinoeki/1747/,44.367332,141.706577
北海道,サロマ湖,第14回,H10.4,常呂郡佐呂間町,http://www.hokkaido-michinoeki.jp/michinoeki/1787/,44.099918,143.824142
北海道,愛ランド湧別,第14回,H10.4,紋別郡湧別町,http://www.hokkaido-michinoeki.jp/michinoeki/1951/,44.13082,143.719206
北海道,おうむ,第14回,H10.4,紋別郡雄武町,http://www.hokkaido-michinoeki.jp/michinoeki/1975/,44.583037,142.959733
北海道,さるふつ公園,第14回,H10.4,宗谷郡猿払村,http://www.hokkaido-michinoeki.jp/michinoeki/2010/,45.329219,142.177348
